Date,Open,High,Low,Close,Adj Close,Volume
2021-02-10,0.045989,0.049322,0.041854,0.046189,0.046189,2971214151
2021-02-11,0.046170,0.058612,0.044778,0.057064,0.057064,3849219974
2021-02-12,0.057026,0.057457,0.052135,0.055322,0.055322,3474527931
2021-02-13,0.055316,0.060719,0.051903,0.059616,0.059616,3469891543
2021-02-14,0.059616,0.059921,0.052533,0.055544,0.055544,3066907831
2021-02-15,0.055504,0.056071,0.046756,0.050746,0.050746,3539421366
2021-02-16,0.050702,0.055011,0.049585,0.052174,0.052174,2771063532
2021-02-17,0.052192,0.053726,0.049147,0.052604,0.052604,2330164000
2021-02-18,0.052594,0.055525,0.052330,0.054989,0.054989,1707823236
2021-02-19,0.054994,0.063850,0.054227,0.061030,0.061030,3547291765
2021-02-20,0.060978,0.063474,0.055778,0.058041,0.058041,3088402642
2021-02-21,0.057994,0.061133,0.056646,0.059468,0.059468,2152212761
2021-02-22,0.059459,0.059478,0.048546,0.054376,0.054376,2903206916
2021-02-23,0.054364,0.054399,0.038776,0.044790,0.044790,3354811856
2021-02-24,0.044817,0.049737,0.043440,0.048028,0.048028,2381928515
2021-02-25,0.048018,0.049908,0.045201,0.045205,0.045205,1421732750
2021-02-26,0.045258,0.046791,0.042615,0.045173,0.045173,1888660788
2021-02-27,0.045196,0.048267,0.045196,0.046606,0.046606,1364941497
2021-02-28,0.046606,0.046835,0.043363,0.045647,0.045647,1696557291
2021-03-01,0.045660,0.048090,0.045149,0.047818,0.047818,1633969210
2021-03-02,0.047811,0.048843,0.045584,0.046849,0.046849,1404555443
2021-03-03,0.046855,0.049634,0.046669,0.049082,0.049082,1291298206
2021-03-04,0.049057,0.053335,0.048579,0.051380,0.051380,2912170556
2021-03-05,0.051372,0.051444,0.048704,0.050269,0.050269,1536724580
2021-03-06,0.050274,0.050738,0.048927,0.050290,0.050290,1188435802
2021-03-07,0.050286,0.051824,0.050125,0.051722,0.051722,1052201573
2021-03-08,0.051709,0.053227,0.050388,0.052813,0.052813,1675275515
2021-03-09,0.052840,0.053481,0.052134,0.053173,0.053173,1369429281
2021-03-10,0.053174,0.053336,0.050888,0.051517,0.051517,1560251407
2021-03-11,0.051484,0.051839,0.049809,0.051506,0.051506,1375292625
2021-03-12,0.051514,0.051687,0.049050,0.050042,0.050042,1348994992
2021-03-13,0.050048,0.053921,0.048987,0.052815,0.052815,2098551189
2021-03-14,0.052824,0.053740,0.051112,0.051301,0.051301,1468032009
2021-03-15,0.051290,0.052110,0.048723,0.050840,0.050840,1793092433
2021-03-16,0.050820,0.052992,0.049302,0.052297,0.052297,1736903544
2021-03-17,0.052312,0.055511,0.052018,0.054975,0.054975,2149834412
2021-03-18,0.054935,0.055195,0.052945,0.053578,0.053578,1367777853
2021-03-19,0.053571,0.059641,0.052622,0.058793,0.058793,2078396867
2021-03-20,0.058799,0.068285,0.058799,0.061080,0.061080,4489856636
2021-03-21,0.061084,0.064330,0.058888,0.063296,0.063296,2696917321
2021-03-22,0.063323,0.066202,0.059452,0.059764,0.059764,2264417503
2021-03-23,0.059734,0.061686,0.057828,0.058830,0.058830,2098616731
2021-03-24,0.058804,0.062116,0.055250,0.056079,0.056079,2379532803
2021-03-25,0.056041,0.056337,0.053678,0.055622,0.055622,2012758050
2021-03-26,0.055605,0.065987,0.055453,0.064900,0.064900,3063327253
2021-03-27,0.064892,0.067669,0.063167,0.063790,0.063790,2597894844
2021-03-28,0.063780,0.064825,0.062463,0.063563,0.063563,1522344813
2021-03-29,0.063592,0.065805,0.063399,0.064791,0.064791,1402334471
2021-03-30,0.064797,0.066716,0.064356,0.066086,0.066086,1764948843
2021-03-31,0.066088,0.096789,0.065760,0.092312,0.092312,11940378031
2021-04-01,0.092564,0.094601,0.083334,0.086120,0.086120,6635312741
2021-04-02,0.086102,0.093043,0.084879,0.092552,0.092552,4510763618
2021-04-03,0.092615,0.111164,0.088745,0.102072,0.102072,9374928775
2021-04-04,0.102101,0.129470,0.101279,0.129373,0.129373,11560343178
2021-04-05,0.129321,0.149146,0.129123,0.136725,0.136725,13973157818
2021-04-06,0.136989,0.138585,0.111889,0.124374,0.124374,10316828261
2021-04-07,0.124153,0.125944,0.104160,0.110282,0.110282,9491738033
